path,line,category,reason,text
.github/CODEOWNERS,2,comment,"source comment, not shown to users",# Upstream DDNet's CODEOWNERS referenced upstream maintainers; that mapping does
.github/pull_request_template.md,14,historical-documentation,document that describes the upstream derivation,- [ ] No user-facing DDNet / DDRaceNetwork / Teeworlds branding introduced (`scripts/check_branding.sh`)
.gitmodules,1,code/api-identifier,identifier kept for protocol/build compatibility (ddnet-libs),"[submodule ""ddnet-libs""]"
.gitmodules,2,code/api-identifier,identifier kept for protocol/build compatibility (ddnet-libs),path = ddnet-libs
.gitmodules,3,code/api-identifier,identifier kept for protocol/build compatibility (ddnet-libs),url = https://github.com/ddnet/ddnet-libs
.typos.toml,8,historical-documentation,document that describes the upstream derivation,"""ddnet-libs"","
CMakeLists.txt,535,code/api-identifier,identifier kept for protocol/build compatibility (ddnet-libs),"file(GLOB DIR ""${PROJECT_SOURCE_DIR}/ddnet-libs/${NAME}/${LIB_DIR}/*.xcframework/${IOS_XCFRAMEWORK_SLICE}"")"
CMakeLists.txt,539,code/api-identifier,identifier kept for protocol/build compatibility (ddnet-libs),"set(DIR ""ddnet-libs/${NAME}/${LIB_DIR}"")"
CMakeLists.txt,554,code/api-identifier,identifier kept for protocol/build compatibility (ddnet-libs),"set(""HINTS_${VARIABLE}_INCLUDEDIR"" ""ddnet-libs/${NAME}/include"" ""ddnet-libs/${NAME}/include/${TMP_TARGET_OS}"" PARENT_SCOPE)"
CMakeLists.txt,810,code/api-identifier,identifier kept for protocol/build compatibility (github\.com/ddnet/ddnet/(issues|pull|blob|compar),list(APPEND PLATFORM_LIBS ntdll.lib) # https://github.com/ddnet/ddnet/issues/6725
CMakeLists.txt,920,code/api-identifier,identifier kept for protocol/build compatibility (\bDDNET_GTEST_VERSION\b),set(DDNET_GTEST_VERSION e5443e5c65f23bfd2a9d56a30bb5b1de91a48ff9)
CMakeLists.txt,1052,code/api-identifier,identifier kept for protocol/build compatibility (\bDDNET_TEST_[A-Z_]+),"set(CARGO_BUILD ${CMAKE_COMMAND} -E env CARGO_TARGET_DIR=${PROJECT_BINARY_DIR} DDNET_TEST_NO_LINK=1 ${RUST_CARGO} ndk --manifest-path ""${PROJECT_SOURCE_DIR}/Cargo.toml"" --target ${CARGO_NDK_TARGET} --platform ${CARGO_NDK_API} build --locked"
CMakeLists.txt,1056,code/api-identifier,identifier kept for protocol/build compatibility (\bDDNET_TEST_[A-Z_]+),"set(CARGO_BUILD ${CMAKE_COMMAND} -E env CARGO_TARGET_DIR=${PROJECT_BINARY_DIR} DDNET_TEST_NO_LINK=1 ${RUST_CARGO} build --locked --manifest-path ""${PROJECT_SOURCE_DIR}/Cargo.toml"")"
CMakeLists.txt,1146,code/api-identifier,identifier kept for protocol/build compatibility (rust_target),"set(LIBRARY_NAME ""${CMAKE_STATIC_LIBRARY_PREFIX}ddnet_${rust_target}${CMAKE_STATIC_LIBRARY_SUFFIX}"")"
CMakeLists.txt,1167,code/api-identifier,identifier kept for protocol/build compatibility (rust_target),"set(LIBRARY_NAME ""${CMAKE_STATIC_LIBRARY_PREFIX}ddnet_${rust_target}${CMAKE_STATIC_LIBRARY_SUFFIX}"")"
CMakeLists.txt,1190,code/api-identifier,identifier kept for protocol/build compatibility (rust_target),"set(LIBRARY_NAME ""${CMAKE_STATIC_LIBRARY_PREFIX}ddnet_${rust_target}${CMAKE_STATIC_LIBRARY_SUFFIX}"")"
CMakeLists.txt,1211,code/api-identifier,identifier kept for protocol/build compatibility ((editor|mapres|assets|skins7?|maps7?|themes|audi),assets/entities/comfort/ddnet.png
CMakeLists.txt,1607,code/api-identifier,identifier kept for protocol/build compatibility ((ddnet|ddrace|teeworlds)[-_][a-z0-9_\-]*\.(png|r),editor/automap/ddnet_grass.rules
CMakeLists.txt,1608,code/api-identifier,identifier kept for protocol/build compatibility ((ddnet|ddrace|teeworlds)[-_][a-z0-9_\-]*\.(png|r),editor/automap/ddnet_tiles.rules
CMakeLists.txt,1609,code/api-identifier,identifier kept for protocol/build compatibility ((ddnet|ddrace|teeworlds)[-_][a-z0-9_\-]*\.(png|r),editor/automap/ddnet_walls.rules
CMakeLists.txt,1625,code/api-identifier,identifier kept for protocol/build compatibility ((editor|mapres|assets|skins7?|maps7?|themes|audi),editor/entities/DDNet.png
CMakeLists.txt,1626,code/api-identifier,identifier kept for protocol/build compatibility ((editor|mapres|assets|skins7?|maps7?|themes|audi),editor/entities/F-DDrace.png
CMakeLists.txt,1632,code/api-identifier,identifier kept for protocol/build compatibility ((editor|mapres|assets|skins7?|maps7?|themes|audi),editor/entities_clear/ddnet.png
CMakeLists.txt,1633,code/api-identifier,identifier kept for protocol/build compatibility ((editor|mapres|assets|skins7?|maps7?|themes|audi),editor/entities_clear/ddrace.png
CMakeLists.txt,1634,code/api-identifier,identifier kept for protocol/build compatibility ((editor|mapres|assets|skins7?|maps7?|themes|audi),editor/entities_clear/f-ddrace.png
CMakeLists.txt,1704,code/api-identifier,identifier kept for protocol/build compatibility ((ddnet|ddrace|teeworlds)[-_][a-z0-9_\-]*\.(png|r),mapres/ddnet_grass.png
CMakeLists.txt,1705,code/api-identifier,identifier kept for protocol/build compatibility ((ddnet|ddrace|teeworlds)[-_][a-z0-9_\-]*\.(png|r),mapres/ddnet_start.png
CMakeLists.txt,1706,code/api-identifier,identifier kept for protocol/build compatibility ((ddnet|ddrace|teeworlds)[-_][a-z0-9_\-]*\.(png|r),mapres/ddnet_tiles.png
CMakeLists.txt,1707,code/api-identifier,identifier kept for protocol/build compatibility ((ddnet|ddrace|teeworlds)[-_][a-z0-9_\-]*\.(png|r),mapres/ddnet_walls.png
CMakeLists.txt,1719,code/api-identifier,identifier kept for protocol/build compatibility ((editor|mapres|assets|skins7?|maps7?|themes|audi),mapres/font_teeworlds.png
CMakeLists.txt,1720,code/api-identifier,identifier kept for protocol/build compatibility ((ddnet|ddrace|teeworlds)[-_][a-z0-9_\-]*\.(png|r),mapres/font_teeworlds_alt.png
CMakeLists.txt,2720,code/api-identifier,identifier kept for protocol/build compatibility ((ddracechat|ddracecommands|menus_settings_ddnet|),components/menus_settings_ddnet.cpp
CMakeLists.txt,3149,code/api-identifier,identifier kept for protocol/build compatibility ((ddracechat|ddracecommands|menus_settings_ddnet|),ddracechat.cpp
CMakeLists.txt,3150,code/api-identifier,identifier kept for protocol/build compatibility ((ddracechat|ddracecommands|menus_settings_ddnet|),ddracecommands.cpp
CMakeLists.txt,3179,code/api-identifier,identifier kept for protocol/build compatibility ((ddracechat|ddracecommands|menus_settings_ddnet|),gamemodes/ddnet.cpp
CMakeLists.txt,3180,code/api-identifier,identifier kept for protocol/build compatibility ((ddracechat|ddracecommands|menus_settings_ddnet|),gamemodes/ddnet.h
CMakeLists.txt,3611,code/api-identifier,identifier kept for protocol/build compatibility (\bDDNET_TEST_[A-Z_]+),"COMMAND ${CMAKE_COMMAND} -E env ""DDNET_TEST_LIBRARIES=${RUST_TEST_LIBS}"" ${CARGO_TEST}"
CMakeLists.txt,3750,code/api-identifier,identifier kept for protocol/build compatibility (ddnet-libs),ddnet-libs/
CMakeLists.txt,4007,code/api-identifier,identifier kept for protocol/build compatibility (ddnet-libs),COMMAND /bin/cp -a ${PROJECT_SOURCE_DIR}/ddnet-libs/sdl/${LIB_DIR}/SDL2.framework ${DMG_TMPDIR}/${CLIENT_EXECUTABLE}.app/Contents/Frameworks/
CMakeLists.txt,4009,code/api-identifier,identifier kept for protocol/build compatibility (ddnet-libs),COMMAND ${CMAKE_COMMAND} -E copy ${PROJECT_SOURCE_DIR}/ddnet-libs/discord/${LIB_DIR}/discord_game_sdk.dylib ${DMG_TMPDIR}/${CLIENT_EXECUTABLE}.app/Contents/Frameworks/
CMakeLists.txt,4010,code/api-identifier,identifier kept for protocol/build compatibility (ddnet-libs),COMMAND ${CMAKE_COMMAND} -E copy ${PROJECT_SOURCE_DIR}/ddnet-libs/ffmpeg/${LIB_DIR}/libavcodec.61.dylib ${DMG_TMPDIR}/${CLIENT_EXECUTABLE}.app/Contents/Frameworks/
CMakeLists.txt,4011,code/api-identifier,identifier kept for protocol/build compatibility (ddnet-libs),COMMAND ${CMAKE_COMMAND} -E copy ${PROJECT_SOURCE_DIR}/ddnet-libs/ffmpeg/${LIB_DIR}/libavformat.61.dylib ${DMG_TMPDIR}/${CLIENT_EXECUTABLE}.app/Contents/Frameworks/
CMakeLists.txt,4012,code/api-identifier,identifier kept for protocol/build compatibility (ddnet-libs),COMMAND ${CMAKE_COMMAND} -E copy ${PROJECT_SOURCE_DIR}/ddnet-libs/ffmpeg/${LIB_DIR}/libavutil.59.dylib ${DMG_TMPDIR}/${CLIENT_EXECUTABLE}.app/Contents/Frameworks/
CMakeLists.txt,4013,code/api-identifier,identifier kept for protocol/build compatibility (ddnet-libs),COMMAND ${CMAKE_COMMAND} -E copy ${PROJECT_SOURCE_DIR}/ddnet-libs/ffmpeg/${LIB_DIR}/libswresample.5.dylib ${DMG_TMPDIR}/${CLIENT_EXECUTABLE}.app/Contents/Frameworks/
CMakeLists.txt,4014,code/api-identifier,identifier kept for protocol/build compatibility (ddnet-libs),COMMAND ${CMAKE_COMMAND} -E copy ${PROJECT_SOURCE_DIR}/ddnet-libs/ffmpeg/${LIB_DIR}/libswscale.8.dylib ${DMG_TMPDIR}/${CLIENT_EXECUTABLE}.app/Contents/Frameworks/
CMakeLists.txt,4015,code/api-identifier,identifier kept for protocol/build compatibility (ddnet-libs),COMMAND ${CMAKE_COMMAND} -E copy ${PROJECT_SOURCE_DIR}/ddnet-libs/freetype/${LIB_DIR}/libfreetype.6.dylib ${DMG_TMPDIR}/${CLIENT_EXECUTABLE}.app/Contents/Frameworks/
CMakeLists.txt,4016,code/api-identifier,identifier kept for protocol/build compatibility (ddnet-libs),COMMAND ${CMAKE_COMMAND} -E copy ${PROJECT_SOURCE_DIR}/ddnet-libs/png/${LIB_DIR}/libpng16.16.dylib ${DMG_TMPDIR}/${CLIENT_EXECUTABLE}.app/Contents/Frameworks/
Cargo.lock,120,legal-attribution,upstream/third-party license notice (must stay),"name = ""ddnet-base"""
Cargo.lock,124,legal-attribution,upstream/third-party license notice (must stay),"""ddnet-test"","
Cargo.lock,129,legal-attribution,upstream/third-party license notice (must stay),"name = ""ddnet-engine"""
Cargo.lock,133,legal-attribution,upstream/third-party license notice (must stay),"""ddnet-base"","
Cargo.lock,134,legal-attribution,upstream/third-party license notice (must stay),"""ddnet-engine-shared"","
Cargo.lock,135,legal-attribution,upstream/third-party license notice (must stay),"""ddnet-test"","
Cargo.lock,139,legal-attribution,upstream/third-party license notice (must stay),"name = ""ddnet-engine-shared"""
Cargo.lock,143,legal-attribution,upstream/third-party license notice (must stay),"""ddnet-base"","
Cargo.lock,144,legal-attribution,upstream/third-party license notice (must stay),"""ddnet-engine"","
Cargo.lock,145,legal-attribution,upstream/third-party license notice (must stay),"""ddnet-test"","
Cargo.lock,149,legal-attribution,upstream/third-party license notice (must stay),"name = ""ddnet-test"""
Dockerfile,3,comment,"source comment, not shown to users",# Neon Relay is a standalone derivative of the upstream DDNet project; the dependency
